"pie","eng","see-also","pie-keywords","eng-keywords","pie-metaphone","eng-metaphone"
"ā̆g̑hes-","<b>day</b>, <b>dawn</b>","[]","[""aagh"", ""aaghes-"", ""\u0101\u0306g\u0311hes"", ""\u0101\u0306g\u0311hes-""]","[""dawn"", ""day""]","[""A"", ""ANN"", ""AR"", ""ARR"", ""AS"", ""ASS""]","[""T"", ""TN""]"
"ō̆g̑her","<b>day</b>, <b>dawn</b>","[]","[""oagher"", ""\u014d\u0306g\u0311her""]","[""dawn"", ""day""]","[""ANN"", ""AR"", ""ARR"", ""ASS""]","[""T"", ""TN""]"
"ō̆g̑her","<b>day</b>, <b>dawn</b>","[]","[""oagher"", ""\u014d\u0306g\u0311her""]","[""dawn"", ""day""]","[""ANN"", ""AR"", ""ARR"", ""ASS""]","[""T"", ""TN""]"
"agh-","to <b>ail</b>, fear, be depressed","[""agh-(lo-)""]","[""agh"", ""agh-"", ""agh"", ""agh-lo-"", ""lo""]","[""ail"", ""be"", ""depress"", ""fear"", ""to""]","[""AA"", ""AAL"", ""L""]","[""AL"", ""FR"", ""P"", ""T"", ""TPRS""]"
"agh-","to <b>ail</b>, fear, be depressed","[""agh-(lo-)""]","[""agh"", ""agh-"", ""agh"", ""agh-lo-"", ""lo""]","[""ail"", ""be"", ""depress"", ""fear"", ""to""]","[""AA"", ""AAL"", ""L""]","[""AL"", ""FR"", ""P"", ""T"", ""TPRS""]"
"agh-(lo-)","disgusting, unpleasant","[""agh-""]","[""agh"", ""agh-lo-"", ""lo"", ""agh"", ""agh-""]","[""disgust"", ""unpleas""]","[""AA"", ""AAL"", ""L""]","[""ANPLS"", ""TSKST""]"
"agh-","disgusting, unpleasant","[""agh-""]","[""agh"", ""agh-"", ""agh"", ""agh-""]","[""disgust"", ""unpleas""]","[""AA"", ""AAL""]","[""ANPLS"", ""TSKST""]"
"agh-lo-","disgusting, unpleasant","[""agh-""]","[""agh"", ""agh-lo-"", ""lo"", ""agh"", ""agh-""]","[""disgust"", ""unpleas""]","[""AA"", ""AAL"", ""L""]","[""ANPLS"", ""TSKST""]"
"aghl(u)-","dark cloud; rainy weather","[]","[""aghlu"", ""aghlu-""]","[""cloud"", ""dark"", ""raini"", ""weather""]","[""AAL"", ""AALL""]","[""A0R"", ""FTR"", ""KLT"", ""RN"", ""TRK""]"
"aghl-","dark cloud; rainy weather","[]","[""aghl"", ""aghl-""]","[""cloud"", ""dark"", ""raini"", ""weather""]","[""AAL"", ""AALL""]","[""A0R"", ""FTR"", ""KLT"", ""RN"", ""TRK""]"
"aghlu-","dark cloud; rainy weather","[]","[""aghlu"", ""aghlu-""]","[""cloud"", ""dark"", ""raini"", ""weather""]","[""AAL"", ""AALL""]","[""A0R"", ""FTR"", ""KLT"", ""RN"", ""TRK""]"
"agos-","sin, guilt; fault, blemish","[]","[""ago"", ""agos-""]","[""blemish"", ""fault"", ""guilt"", ""sin""]","[""AK"", ""AKSS""]","[""FLT"", ""KLT"", ""PLMX"", ""SN""]"
"agos-","sin, guilt; fault, blemish","[]","[""ago"", ""agos-""]","[""blemish"", ""fault"", ""guilt"", ""sin""]","[""AK"", ""AKSS""]","[""FLT"", ""KLT"", ""PLMX"", ""SN""]"
"agro-","first, highest; apex, beginning","[]","[""agro"", ""agro-""]","[""apex"", ""begin"", ""first"", ""highest""]","[""AKR""]","[""APKS"", ""FRST"", ""HHST"", ""PJN"", ""PKN""]"
"agro-","first, highest; apex, beginning","[]","[""agro"", ""agro-""]","[""apex"", ""begin"", ""first"", ""highest""]","[""AKR""]","[""APKS"", ""FRST"", ""HHST"", ""PJN"", ""PKN""]"
"egro-?","first, highest; apex, beginning","[]","[""egro"", ""egro-""]","[""apex"", ""begin"", ""first"", ""highest""]","[""AKR""]","[""APKS"", ""FRST"", ""HHST"", ""PJN"", ""PKN""]"
"egro-?","first, highest; apex, beginning","[]","[""egro"", ""egro-""]","[""apex"", ""begin"", ""first"", ""highest""]","[""AKR""]","[""APKS"", ""FRST"", ""HHST"", ""PJN"", ""PKN""]"
"ag̑ro-s","field, <b>acre</b>","[""ag\u0311-""]","[""agro"", ""agro-"", ""ag\u0311ro"", ""ag\u0311ro-"", ""ag"", ""ag-"", ""ag\u0311"", ""ag\u0311-""]","[""acr"", ""field""]","[""AK"", ""AKK"", ""AKR"", ""AKRS""]","[""AKR"", ""FLT""]"
"ag̑ro-s","field, <b>acre</b>","[""ag\u0311-""]","[""agro"", ""agro-"", ""ag\u0311ro"", ""ag\u0311ro-"", ""ag"", ""ag-"", ""ag\u0311"", ""ag\u0311-""]","[""acr"", ""field""]","[""AK"", ""AKK"", ""AKR"", ""AKRS""]","[""AKR"", ""FLT""]"
"agu̯(e)sī","<b>axe</b>","[]","[""aguuesi"", ""agu\u032fes\u012b""]","[""axe""]","[""AKS""]","[""AKS""]"
"agu̯sī","<b>axe</b>","[]","[""aguusi"", ""agu\u032fs\u012b""]","[""axe""]","[""AKS""]","[""AKS""]"
"agu̯esī","<b>axe</b>","[]","[""aguuesi"", ""agu\u032fes\u012b""]","[""axe""]","[""AKS""]","[""AKS""]"
"aksī","<b>axe</b>","[]","[""aksi"", ""aks\u012b""]","[""axe""]","[""AKS""]","[""AKS""]"
