"pie","eng","see-also","pie-keywords","eng-keywords","pie-metaphone","eng-metaphone"
"kost-","leg, bone, <b>costa</b>","[]","[""kost"", ""kost-""]","[""bone"", ""costa"", ""leg""]","[""KST"", ""KSTT""]","[""KST"", ""LK"", ""PN""]"
"k̑rā̆po-","<b>roof</b>","[]","[""kraapo"", ""kraapo-"", ""k\u0311r\u0101\u0306po"", ""k\u0311r\u0101\u0306po-""]","[""roof""]","[""KRP""]","[""RF""]"
"k̑rā̆po-","<b>roof</b>","[]","[""kraapo"", ""kraapo-"", ""k\u0311r\u0101\u0306po"", ""k\u0311r\u0101\u0306po-""]","[""roof""]","[""KRP""]","[""RF""]"
"k̑rō̆po-?","<b>roof</b>","[]","[""kroapo"", ""kroapo-"", ""k\u0311r\u014d\u0306po"", ""k\u0311r\u014d\u0306po-""]","[""roof""]","[""KRP""]","[""RF""]"
"k̑rō̆po-?","<b>roof</b>","[]","[""kroapo"", ""kroapo-"", ""k\u0311r\u014d\u0306po"", ""k\u0311r\u014d\u0306po-""]","[""roof""]","[""KRP""]","[""RF""]"
"k̑rā-","to cook, mix","[""k\u0311er\u0259-""]","[""kra"", ""kra-"", ""k\u0311r\u0101"", ""k\u0311r\u0101-"", ""kere"", ""kere-"", ""k\u0311er\u0259"", ""k\u0311er\u0259-""]","[""cook"", ""mix"", ""to""]","[""KR""]","[""KK"", ""MKS"", ""T""]"
"k̑rā-","to cook, mix","[""k\u0311er\u0259-""]","[""kra"", ""kra-"", ""k\u0311r\u0101"", ""k\u0311r\u0101-"", ""kere"", ""kere-"", ""k\u0311er\u0259"", ""k\u0311er\u0259-""]","[""cook"", ""mix"", ""to""]","[""KR""]","[""KK"", ""MKS"", ""T""]"
"krāt-","to roll, turn, wind","[""kert-""]","[""krat"", ""krat-"", ""kr\u0101t"", ""kr\u0101t-"", ""kert"", ""kert-""]","[""roll"", ""to"", ""turn"", ""wind""]","[""KRT"", ""KRTT""]","[""ANT"", ""FNT"", ""RL"", ""T"", ""TRN""]"
"krāt-","to roll, turn, wind","[""kert-""]","[""krat"", ""krat-"", ""kr\u0101t"", ""kr\u0101t-"", ""kert"", ""kert-""]","[""roll"", ""to"", ""turn"", ""wind""]","[""KRT"", ""KRTT""]","[""ANT"", ""FNT"", ""RL"", ""T"", ""TRN""]"
"krā[u]-","to heap up, pile together; heap; roof","[]","[""kra[u]"", ""kra[u]-"", ""kr\u0101[u]"", ""kr\u0101[u]-""]","[""heap"", ""pile"", ""roof"", ""to"", ""togeth"", ""up""]","[""KR""]","[""AP"", ""HP"", ""PL"", ""RF"", ""T"", ""TK0"", ""TKT""]"
"krā[u]-","to heap up, pile together; heap; roof","[]","[""kra[u]"", ""kra[u]-"", ""kr\u0101[u]"", ""kr\u0101[u]-""]","[""heap"", ""pile"", ""roof"", ""to"", ""togeth"", ""up""]","[""KR""]","[""AP"", ""HP"", ""PL"", ""RF"", ""T"", ""TK0"", ""TKT""]"
"krəu-","to heap up, pile together; heap; roof","[]","[""kreu"", ""kreu-"", ""kr\u0259u"", ""kr\u0259u-""]","[""heap"", ""pile"", ""roof"", ""to"", ""togeth"", ""up""]","[""KR""]","[""AP"", ""HP"", ""PL"", ""RF"", ""T"", ""TK0"", ""TKT""]"
"krəu-","to heap up, pile together; heap; roof","[]","[""kreu"", ""kreu-"", ""kr\u0259u"", ""kr\u0259u-""]","[""heap"", ""pile"", ""roof"", ""to"", ""togeth"", ""up""]","[""KR""]","[""AP"", ""HP"", ""PL"", ""RF"", ""T"", ""TK0"", ""TKT""]"
"krū̆-","to heap up, pile together; heap; roof","[]","[""krua"", ""krua-"", ""kr\u016b\u0306"", ""kr\u016b\u0306-""]","[""heap"", ""pile"", ""roof"", ""to"", ""togeth"", ""up""]","[""KR""]","[""AP"", ""HP"", ""PL"", ""RF"", ""T"", ""TK0"", ""TKT""]"
"krū̆-","to heap up, pile together; heap; roof","[]","[""krua"", ""krua-"", ""kr\u016b\u0306"", ""kr\u016b\u0306-""]","[""heap"", ""pile"", ""roof"", ""to"", ""togeth"", ""up""]","[""KR""]","[""AP"", ""HP"", ""PL"", ""RF"", ""T"", ""TK0"", ""TKT""]"
"k̑re-","(hoarse sound)","[""kreb-""]","[""kre"", ""kre-"", ""k\u0311re"", ""k\u0311re-"", ""kreb"", ""kreb-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP"", ""KRRR""]","[""HRS"", ""SNT""]"
"k̑re-","(hoarse sound)","[""kreb-""]","[""kre"", ""kre-"", ""k\u0311re"", ""k\u0311re-"", ""kreb"", ""kreb-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP"", ""KRRR""]","[""HRS"", ""SNT""]"
"k̑rei-","(hoarse sound)","[""kreb-""]","[""krei"", ""krei-"", ""k\u0311rei"", ""k\u0311rei-"", ""kreb"", ""kreb-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP"", ""KRRR""]","[""HRS"", ""SNT""]"
"k̑rei-","(hoarse sound)","[""kreb-""]","[""krei"", ""krei-"", ""k\u0311rei"", ""k\u0311rei-"", ""kreb"", ""kreb-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP"", ""KRRR""]","[""HRS"", ""SNT""]"
"k̑r̥̄-","(hoarse sound)","[""kreb-""]","[""krar"", ""krar-"", ""k\u0311r\u0304\u0325"", ""k\u0311r\u0304\u0325-"", ""kreb"", ""kreb-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP"", ""KRR"", ""KRRR""]","[""HRS"", ""SNT""]"
"k̑r̥̄-","(hoarse sound)","[""kreb-""]","[""krar"", ""krar-"", ""k\u0311r\u0304\u0325"", ""k\u0311r\u0304\u0325-"", ""kreb"", ""kreb-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP"", ""KRR"", ""KRRR""]","[""HRS"", ""SNT""]"
"k̑rē-","to harm, injure; ruined, spoiled","[""k\u0311er-""]","[""kre"", ""kre-"", ""k\u0311r\u0113"", ""k\u0311r\u0113-"", ""ker"", ""ker-"", ""k\u0311er"", ""k\u0311er-""]","[""harm"", ""injur"", ""ruin"", ""spoil"", ""to""]","[""KR"", ""KRR""]","[""ANJR"", ""HRM"", ""RN"", ""SPL"", ""T""]"
"k̑rē-","to harm, injure; ruined, spoiled","[""k\u0311er-""]","[""kre"", ""kre-"", ""k\u0311r\u0113"", ""k\u0311r\u0113-"", ""ker"", ""ker-"", ""k\u0311er"", ""k\u0311er-""]","[""harm"", ""injur"", ""ruin"", ""spoil"", ""to""]","[""KR"", ""KRR""]","[""ANJR"", ""HRM"", ""RN"", ""SPL"", ""T""]"
"kreb-","(hoarse sound)","[""kreg-""]","[""kreb"", ""kreb-"", ""kreg"", ""kreg-""]","[""hoars"", ""sound""]","[""KRK"", ""KRKK"", ""KRP"", ""KRPP""]","[""HRS"", ""SNT""]"
"kreb-","(hoarse sound)","[""kreg-""]","[""kreb"", ""kreb-"", ""kreg"", ""kreg-""]","[""hoars"", ""sound""]","[""KRK"", ""KRKK"", ""KRP"", ""KRPP""]","[""HRS"", ""SNT""]"
"k̑rebh-","to entrust","[]","[""krebh"", ""krebh-"", ""k\u0311rebh"", ""k\u0311rebh-""]","[""entrust"", ""to""]","[""KRMP"", ""KRP""]","[""ANTRST"", ""T""]"
"k̑rebh-","to entrust","[]","[""krebh"", ""krebh-"", ""k\u0311rebh"", ""k\u0311rebh-""]","[""entrust"", ""to""]","[""KRMP"", ""KRP""]","[""ANTRST"", ""T""]"
"k̑rō̆bh-","to entrust","[]","[""kroabh"", ""kroabh-"", ""k\u0311r\u014d\u0306bh"", ""k\u0311r\u014d\u0306bh-""]","[""entrust"", ""to""]","[""KRMP"", ""KRP""]","[""ANTRST"", ""T""]"
"k̑rō̆bh-","to entrust","[]","[""kroabh"", ""kroabh-"", ""k\u0311r\u014d\u0306bh"", ""k\u0311r\u014d\u0306bh-""]","[""entrust"", ""to""]","[""KRMP"", ""KRP""]","[""ANTRST"", ""T""]"
"k̑rembh-","to entrust","[]","[""krembh"", ""krembh-"", ""k\u0311rembh"", ""k\u0311rembh-""]","[""entrust"", ""to""]","[""KRMP"", ""KRP""]","[""ANTRST"", ""T""]"
"k̑rembh-","to entrust","[]","[""krembh"", ""krembh-"", ""k\u0311rembh"", ""k\u0311rembh-""]","[""entrust"", ""to""]","[""KRMP"", ""KRP""]","[""ANTRST"", ""T""]"
"kred-","beams","[]","[""kred"", ""kred-""]","[""beam""]","[""KRT"", ""KRTT""]","[""PM""]"
"kred-","beams","[]","[""kred"", ""kred-""]","[""beam""]","[""KRT"", ""KRTT""]","[""PM""]"
"k̑red-","heart","[""k\u0311ered-""]","[""kred"", ""kred-"", ""k\u0311red"", ""k\u0311red-"", ""kere"", ""kered-"", ""k\u0311ere"", ""k\u0311ered-""]","[""heart""]","[""KR"", ""KRT"", ""KRTT""]","[""HRT""]"
"k̑red-","heart","[""k\u0311ered-""]","[""kred"", ""kred-"", ""k\u0311red"", ""k\u0311red-"", ""kere"", ""kered-"", ""k\u0311ere"", ""k\u0311ered-""]","[""heart""]","[""KR"", ""KRT"", ""KRTT""]","[""HRT""]"
"kreg-","to torment","[]","[""kreg"", ""kreg-""]","[""to"", ""torment""]","[""KRK"", ""KRKK"", ""KRKKK""]","[""T"", ""TRMNT""]"
"kreg-","to torment","[]","[""kreg"", ""kreg-""]","[""to"", ""torment""]","[""KRK"", ""KRKK"", ""KRKKK""]","[""T"", ""TRMNT""]"
"kerg-?","to torment","[]","[""kerg"", ""kerg-""]","[""to"", ""torment""]","[""KRK"", ""KRKK"", ""KRKKK""]","[""T"", ""TRMNT""]"
"kerg-?","to torment","[]","[""kerg"", ""kerg-""]","[""to"", ""torment""]","[""KRK"", ""KRKK"", ""KRKKK""]","[""T"", ""TRMNT""]"
"kreg-","(hoarse sound)","[""krei-""]","[""kreg"", ""kreg-"", ""krei"", ""krei-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"kreg-","(hoarse sound)","[""krei-""]","[""kreg"", ""kreg-"", ""krei"", ""krei-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"krei-","to brush, stroke, touch","[]","[""krei"", ""krei-""]","[""brush"", ""stroke"", ""to"", ""touch""]","[""KR""]","[""PRX"", ""STRK"", ""T"", ""TK"", ""TX""]"
"krei-","to brush, stroke, touch","[]","[""krei"", ""krei-""]","[""brush"", ""stroke"", ""to"", ""touch""]","[""KR""]","[""PRX"", ""STRK"", ""T"", ""TK"", ""TX""]"
"krei-","(hoarse sound)","[""krek-""]","[""krei"", ""krei-"", ""krek"", ""krek-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"krei-","(hoarse sound)","[""krek-""]","[""krei"", ""krei-"", ""krek"", ""krek-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"kreig-","(hoarse sound)","[""krek-""]","[""kreig"", ""kreig-"", ""krek"", ""krek-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"kreig-","(hoarse sound)","[""krek-""]","[""kreig"", ""kreig-"", ""krek"", ""krek-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"kreik-","(hoarse sound)","[""krek-""]","[""kreik"", ""kreik-"", ""krek"", ""krek-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"kreik-","(hoarse sound)","[""krek-""]","[""kreik"", ""kreik-"", ""krek"", ""krek-""]","[""hoars"", ""sound""]","[""KR"", ""KRK"", ""KRKK""]","[""HRS"", ""SNT""]"
"k̑rei-","to appear, show forth","[]","[""krei"", ""krei-"", ""k\u0311rei"", ""k\u0311rei-""]","[""appear"", ""forth"", ""show"", ""to""]","[""KR""]","[""APR"", ""FR0"", ""FRT"", ""T"", ""X"", ""XF""]"
"k̑rei-","to appear, show forth","[]","[""krei"", ""krei-"", ""k\u0311rei"", ""k\u0311rei-""]","[""appear"", ""forth"", ""show"", ""to""]","[""KR""]","[""APR"", ""FR0"", ""FRT"", ""T"", ""X"", ""XF""]"
"krek-","to hit","[]","[""krek"", ""krek-""]","[""hit"", ""to""]","[""KRK"", ""KRKK""]","[""HT"", ""T""]"
"krek-","to hit","[]","[""krek"", ""krek-""]","[""hit"", ""to""]","[""KRK"", ""KRKK""]","[""HT"", ""T""]"
"krek-","<b>roe</b>, fish/frog spawn","[]","[""krek"", ""krek-""]","[""fishfrog"", ""roe"", ""spawn""]","[""KRK"", ""KRKK""]","[""FXFRK"", ""R"", ""SPN""]"
"krek-","<b>roe</b>, fish/frog spawn","[]","[""krek"", ""krek-""]","[""fishfrog"", ""roe"", ""spawn""]","[""KRK"", ""KRKK""]","[""FXFRK"", ""R"", ""SPN""]"
"kr̥k-","<b>roe</b>, fish/frog spawn","[]","[""krrk"", ""krrk-"", ""kr\u0325k"", ""kr\u0325k-""]","[""fishfrog"", ""roe"", ""spawn""]","[""KRK"", ""KRKK""]","[""FXFRK"", ""R"", ""SPN""]"
"kr̥k-","<b>roe</b>, fish/frog spawn","[]","[""krrk"", ""krrk-"", ""kr\u0325k"", ""kr\u0325k-""]","[""fishfrog"", ""roe"", ""spawn""]","[""KRK"", ""KRKK""]","[""FXFRK"", ""R"", ""SPN""]"
"krek-","(hoarse sound)","[""krep-""]","[""krek"", ""krek-"", ""krep"", ""krep-""]","[""hoars"", ""sound""]","[""KRK"", ""KRKK"", ""KRP"", ""KRPP""]","[""HRS"", ""SNT""]"
"krek-","(hoarse sound)","[""krep-""]","[""krek"", ""krek-"", ""krep"", ""krep-""]","[""hoars"", ""sound""]","[""KRK"", ""KRKK"", ""KRP"", ""KRPP""]","[""HRS"", ""SNT""]"
"krē̆k-","to tower, jut out; beams","[]","[""kreak"", ""kreak-"", ""kr\u0113\u0306k"", ""kr\u0113\u0306k-""]","[""beam"", ""jut"", ""out"", ""to"", ""tower""]","[""KRK"", ""KRKK""]","[""AT"", ""JT"", ""PM"", ""T"", ""TR""]"
"krē̆k-","to tower, jut out; beams","[]","[""kreak"", ""kreak-"", ""kr\u0113\u0306k"", ""kr\u0113\u0306k-""]","[""beam"", ""jut"", ""out"", ""to"", ""tower""]","[""KRK"", ""KRKK""]","[""AT"", ""JT"", ""PM"", ""T"", ""TR""]"
"krok-","to tower, jut out; beams","[]","[""krok"", ""krok-""]","[""beam"", ""jut"", ""out"", ""to"", ""tower""]","[""KRK"", ""KRKK""]","[""AT"", ""JT"", ""PM"", ""T"", ""TR""]"
"krok-","to tower, jut out; beams","[]","[""krok"", ""krok-""]","[""beam"", ""jut"", ""out"", ""to"", ""tower""]","[""KRK"", ""KRKK""]","[""AT"", ""JT"", ""PM"", ""T"", ""TR""]"
"krem-","onion or garlic; ash (tree)","[""kerem-""]","[""krem"", ""krem-"", ""kerem"", ""kerem-""]","[""ash"", ""garlic"", ""onion"", ""or"", ""tree""]","[""KRM"", ""KRMM""]","[""ANN"", ""AR"", ""AX"", ""KRLK"", ""TR""]"
"krem-","onion or garlic; ash (tree)","[""kerem-""]","[""krem"", ""krem-"", ""kerem"", ""kerem-""]","[""ash"", ""garlic"", ""onion"", ""or"", ""tree""]","[""KRM"", ""KRMM""]","[""ANN"", ""AR"", ""AX"", ""KRLK"", ""TR""]"
"krep-","form; <b>corpse</b>, body","[]","[""krep"", ""krep-""]","[""bodi"", ""corps"", ""form""]","[""KRP"", ""KRPP""]","[""FRM"", ""KRPS"", ""PT""]"
"krep-","form; <b>corpse</b>, body","[]","[""krep"", ""krep-""]","[""bodi"", ""corps"", ""form""]","[""KRP"", ""KRPP""]","[""FRM"", ""KRPS"", ""PT""]"
"kr̥p-","form; <b>corpse</b>, body","[]","[""krrp"", ""krrp-"", ""kr\u0325p"", ""kr\u0325p-""]","[""bodi"", ""corps"", ""form""]","[""KRP"", ""KRPP""]","[""FRM"", ""KRPS"", ""PT""]"
"kr̥p-","form; <b>corpse</b>, body","[]","[""krrp"", ""krrp-"", ""kr\u0325p"", ""kr\u0325p-""]","[""bodi"", ""corps"", ""form""]","[""KRP"", ""KRPP""]","[""FRM"", ""KRPS"", ""PT""]"
"krep-","(hoarse sound)","[""kreu-""]","[""krep"", ""krep-"", ""kreu"", ""kreu-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP""]","[""HRS"", ""SNT""]"
"krep-","(hoarse sound)","[""kreu-""]","[""krep"", ""krep-"", ""kreu"", ""kreu-""]","[""hoars"", ""sound""]","[""KR"", ""KRP"", ""KRPP""]","[""HRS"", ""SNT""]"
"krēp-","firm, strong","[]","[""krep"", ""krep-"", ""kr\u0113p"", ""kr\u0113p-""]","[""firm"", ""strong""]","[""KRP"", ""KRPP""]","[""FRM"", ""STRNK""]"
"krēp-","firm, strong","[]","[""krep"", ""krep-"", ""kr\u0113p"", ""kr\u0113p-""]","[""firm"", ""strong""]","[""KRP"", ""KRPP""]","[""FRM"", ""STRNK""]"
"krēp-","cloth, leather; shoe","[""(s)ker-""]","[""krep"", ""krep-"", ""kr\u0113p"", ""kr\u0113p-"", ""sker"", ""sker-""]","[""cloth"", ""leather"", ""shoe""]","[""KRP"", ""KRPP"", ""SKR"", ""SKRR"", ""SSKRR""]","[""KL0"", ""KLT"", ""L0R"", ""LTR"", ""X""]"
"krēp-","cloth, leather; shoe","[""(s)ker-""]","[""krep"", ""krep-"", ""kr\u0113p"", ""kr\u0113p-"", ""sker"", ""sker-""]","[""cloth"", ""leather"", ""shoe""]","[""KRP"", ""KRPP"", ""SKR"", ""SKRR"", ""SSKRR""]","[""KL0"", ""KLT"", ""L0R"", ""LTR"", ""X""]"
"kret-","to shake","[]","[""kret"", ""kret-""]","[""shake"", ""to""]","[""KRT"", ""KRTT""]","[""T"", ""XK""]"
"kret-","to shake","[]","[""kret"", ""kret-""]","[""shake"", ""to""]","[""KRT"", ""KRTT""]","[""T"", ""XK""]"
"kret-","to hit","[]","[""kret"", ""kret-""]","[""hit"", ""to""]","[""KRT"", ""KRTT""]","[""HT"", ""T""]"
"kret-","to hit","[]","[""kret"", ""kret-""]","[""hit"", ""to""]","[""KRT"", ""KRTT""]","[""HT"", ""T""]"
"kreu-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kreu"", ""kreu-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"kreu-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kreu"", ""kreu-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"kreuə-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kreue"", ""kreue-"", ""kreu\u0259"", ""kreu\u0259-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"kreuə-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kreue"", ""kreue-"", ""kreu\u0259"", ""kreu\u0259-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"krū-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kru"", ""kru-"", ""kr\u016b"", ""kr\u016b-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"krū-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kru"", ""kru-"", ""kr\u016b"", ""kr\u016b-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"kreus-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kreus"", ""kreus-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRS"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"kreus-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""kreus"", ""kreus-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRS"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"krus-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""krus"", ""krus-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRS"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"krus-","raw flesh, thick/clotting blood; ice, <b>crust</b>","[]","[""krus"", ""krus-""]","[""blood"", ""crust"", ""flesh"", ""ice"", ""raw"", ""thickclot""]","[""KR"", ""KRS"", ""KRSS""]","[""0KKLT"", ""AS"", ""FLX"", ""KRST"", ""PLT"", ""R"", ""RF"", ""TKKLT""]"
"kreu-","to crash, collapse, fall down","[]","[""kreu"", ""kreu-""]","[""collaps"", ""crash"", ""down"", ""fall"", ""to""]","[""KR""]","[""FL"", ""KLPS"", ""KRX"", ""T"", ""TN""]"
"kreu-","to crash, collapse, fall down","[]","[""kreu"", ""kreu-""]","[""collaps"", ""crash"", ""down"", ""fall"", ""to""]","[""KR""]","[""FL"", ""KLPS"", ""KRX"", ""T"", ""TN""]"
"kreu-","to push, hit, break","[]","[""kreu"", ""kreu-""]","[""break"", ""hit"", ""push"", ""to""]","[""KR"", ""KRSS""]","[""HT"", ""PRK"", ""PX"", ""T""]"
"kreu-","to push, hit, break","[]","[""kreu"", ""kreu-""]","[""break"", ""hit"", ""push"", ""to""]","[""KR"", ""KRSS""]","[""HT"", ""PRK"", ""PX"", ""T""]"
"krou-s-","to push, hit, break","[]","[""krou"", ""krou-s-""]","[""break"", ""hit"", ""push"", ""to""]","[""KR"", ""KRSS""]","[""HT"", ""PRK"", ""PX"", ""T""]"
"krou-s-","to push, hit, break","[]","[""krou"", ""krou-s-""]","[""break"", ""hit"", ""push"", ""to""]","[""KR"", ""KRSS""]","[""HT"", ""PRK"", ""PX"", ""T""]"
"kreu-","(hoarse sound)","[""(s)ker-""]","[""kreu"", ""kreu-"", ""sker"", ""sker-""]","[""hoars"", ""sound""]","[""KR"", ""SKR"", ""SKRR"", ""SSKRR""]","[""HRS"", ""SNT""]"
"kreu-","(hoarse sound)","[""(s)ker-""]","[""kreu"", ""kreu-"", ""sker"", ""sker-""]","[""hoars"", ""sound""]","[""KR"", ""SKR"", ""SKRR"", ""SSKRR""]","[""HRS"", ""SNT""]"
"kreup-","scab","[]","[""kreup"", ""kreup-""]","[""scab""]","[""KRP"", ""KRPP""]","[""SKP""]"
"kreup-","scab","[]","[""kreup"", ""kreup-""]","[""scab""]","[""KRP"", ""KRPP""]","[""SKP""]"
"kreu-t-","to shake, move visibly","[]","[""kreu"", ""kreu-t-""]","[""move"", ""shake"", ""to"", ""visibl""]","[""KR"", ""KRT"", ""KRTT""]","[""FSPL"", ""MF"", ""T"", ""XK""]"
"kreu-t-","to shake, move visibly","[]","[""kreu"", ""kreu-t-""]","[""move"", ""shake"", ""to"", ""visibl""]","[""KR"", ""KRT"", ""KRTT""]","[""FSPL"", ""MF"", ""T"", ""XK""]"
"kreu-dh-?","to shake, move visibly","[]","[""dh"", ""kreu"", ""kreu-dh-""]","[""move"", ""shake"", ""to"", ""visibl""]","[""KR"", ""KRT"", ""KRTT"", ""T""]","[""FSPL"", ""MF"", ""T"", ""XK""]"
"kreu-dh-?","to shake, move visibly","[]","[""dh"", ""kreu"", ""kreu-dh-""]","[""move"", ""shake"", ""to"", ""visibl""]","[""KR"", ""KRT"", ""KRTT"", ""T""]","[""FSPL"", ""MF"", ""T"", ""XK""]"
"krom-","lattice, framework, wooden fence, etc.","[]","[""krom"", ""krom-""]","[""etc"", ""fenc"", ""framework"", ""lattic"", ""wooden""]","[""KRM"", ""KRMM""]","[""ATK"", ""ATN"", ""FNK"", ""FRMRK"", ""FTN"", ""LTK""]"
"krom-","lattice, framework, wooden fence, etc.","[]","[""krom"", ""krom-""]","[""etc"", ""fenc"", ""framework"", ""lattic"", ""wooden""]","[""KRM"", ""KRMM""]","[""ATK"", ""ATN"", ""FNK"", ""FRMRK"", ""FTN"", ""LTK""]"
"kr(o)k-sko-","arm","[]","[""krok"", ""krok-sko-"", ""sko""]","[""arm""]","[""KRK"", ""KRKKSK"", ""KRRKKSK"", ""SK""]","[""ARM""]"
"krk-sko-","arm","[]","[""krk"", ""krk-sko-"", ""sko""]","[""arm""]","[""KRK"", ""KRKKSK"", ""KRRKKSK"", ""SK""]","[""ARM""]"
"krok-sko-","arm","[]","[""krok"", ""krok-sko-"", ""sko""]","[""arm""]","[""KRK"", ""KRKKSK"", ""KRRKKSK"", ""SK""]","[""ARM""]"
"k̑rūs-","leg, shank, thigh","[]","[""krus"", ""krus-"", ""k\u0311r\u016bs"", ""k\u0311r\u016bs-""]","[""leg"", ""shank"", ""thigh""]","[""KRS"", ""KRSS""]","[""0"", ""LK"", ""T"", ""XNK""]"
"k̑rūs-","leg, shank, thigh","[]","[""krus"", ""krus-"", ""k\u0311r\u016bs"", ""k\u0311r\u016bs-""]","[""leg"", ""shank"", ""thigh""]","[""KRS"", ""KRSS""]","[""0"", ""LK"", ""T"", ""XNK""]"
"krū̆t-","breast, belly; vault, protuberance","[]","[""kruat"", ""kruat-"", ""kr\u016b\u0306t"", ""kr\u016b\u0306t-""]","[""belli"", ""breast"", ""protuber"", ""vault""]","[""KRT"", ""KRTT""]","[""FLT"", ""PL"", ""PRST"", ""PRTPR""]"
"krū̆t-","breast, belly; vault, protuberance","[]","[""kruat"", ""kruat-"", ""kr\u016b\u0306t"", ""kr\u016b\u0306t-""]","[""belli"", ""breast"", ""protuber"", ""vault""]","[""KRT"", ""KRTT""]","[""FLT"", ""PL"", ""PRST"", ""PRTPR""]"
"k̑sā-","to burn","[""k\u0311s\u0113\u0306-ro-""]","[""ksa"", ""ksa-"", ""k\u0311s\u0101"", ""k\u0311s\u0101-"", ""ksea"", ""ksea-ro-"", ""k\u0311s\u0113\u0306"", ""k\u0311s\u0113\u0306-ro-"", ""ro""]","[""burn"", ""to""]","[""KS"", ""KSR"", ""R""]","[""PRN"", ""T""]"
"k̑sā-","to burn","[""k\u0311s\u0113\u0306-ro-""]","[""ksa"", ""ksa-"", ""k\u0311s\u0101"", ""k\u0311s\u0101-"", ""ksea"", ""ksea-ro-"", ""k\u0311s\u0113\u0306"", ""k\u0311s\u0113\u0306-ro-"", ""ro""]","[""burn"", ""to""]","[""KS"", ""KSR"", ""R""]","[""PRN"", ""T""]"
