pcl,eng,see-also,pcl-keywords,eng-keywords,pcl-metaphone,eng-metaphone
*lib-markā-,oyster,,"lib,lib-markā-,lib-ngarka-,lib-nggarka-,markā,ngarka,nggarka",oyster,"LP,LPPNKRK,NKRK",ASTR
*slib-markā-,oyster,,"markā,ngarka,nggarka,slib,slib-markā-,slib-ngarka-,slib-nggarka-",oyster,"NKRK,SLP,SLPPNKRK,XLP,XLPPNKRK",ASTR
*(s)lisd-,flat-fish,,"slisd,slisd-",flat-fish,"SLST,SLSTT,SSLSTT,XLST,XLSTT",FLTTFX
*lisd-,flat-fish,,"lisd,lisd-",flat-fish,"LST,LSTT",FLTTFX
*slisd-,flat-fish,,"slisd,slisd-",flat-fish,"SLST,SLSTT,XLST,XLSTT",FLTTFX
*(s)lunk-e/o-,swallow,,"eo,slunggk,slunggk-eo-,slungk,slungk-eo-,slunk,slunk-eo-",swallow,"A,SLNKK,SLNKKK,SSLNKKK,XLNKK,XLNKKK","SL,XLF"
*lunk-e/o-,swallow,,"eo,lunggk,lunggk-eo-,lungk,lungk-eo-,lunk,lunk-eo-",swallow,"A,LNKK,LNKKK","SL,XLF"
*slunk-e/o-,swallow,,"eo,slunggk,slunggk-eo-,slungk,slungk-eo-,slunk,slunk-eo-",swallow,"A,SLNKK,SLNKKK,XLNKK,XLNKKK","SL,XLF"
*(s)natjā-(je/o-),"jump, fly",,"jeo,snatjā,snatjā-jeo-,sngatja,sngatja-jeo-,snggatja,snggatja-jeo-","fli,jump","A,J,SNKTJ,SNKTJJ,SSNKTJJ,XNKTJ,XNKTJJ","ANKP,ANKPP,FL,JNKP,JNKPP"
*natjā-,"jump, fly",,"natjā,natjā-,ngatja,ngatja-,nggatja,nggatja-","fli,jump",NKTJ,"ANKP,ANKPP,FL,JNKP,JNKPP"
*snatjā-,"jump, fly",,"snatjā,snatjā-,sngatja,sngatja-,snggatja,snggatja-","fli,jump","SNKTJ,XNKTJ","ANKP,ANKPP,FL,JNKP,JNKPP"
*natjā-je/o-,"jump, fly",,"jeo,natjā,natjā-jeo-,ngatja,ngatja-jeo-,nggatja,nggatja-jeo-","fli,jump","A,J,NKTJ,NKTJJ","ANKP,ANKPP,FL,JNKP,JNKPP"
*snatjā-je/o-,"jump, fly",,"jeo,snatjā,snatjā-jeo-,sngatja,sngatja-jeo-,snggatja,snggatja-jeo-","fli,jump","A,J,SNKTJ,SNKTJJ,XNKTJ,XNKTJJ","ANKP,ANKPP,FL,JNKP,JNKPP"
*(s)nīs,we,,"snggis,sngis,snīs",we,"SNJS,SNKS,SSNJS,SSNKS,XNKS","A,F"
*nīs,we,,"nggis,ngis,nīs",we,"NJS,NKS","A,F"
*snīs,we,,"snggis,sngis,snīs",we,"SNJS,SNKS,XNKS","A,F"
*(s)tano- / *(s)tanā-,location,,"stanga,stanga-,stangga,stangga-,stanggo,stanggo-,stango,stango-,stano,stano-,stanā,stanā-",locat,"SSTNK,STNK","LKT,LKXNK"
*(s)tano-,location,,"stanggo,stanggo-,stango,stango-,stano,stano-",locat,"SSTNK,STNK","LKT,LKXNK"
*(s)tanā-,location,,"stanga,stanga-,stangga,stangga-,stanā,stanā-",locat,"SSTNK,STNK","LKT,LKXNK"
*tano-,location,,"tanggo,tanggo-,tango,tango-,tano,tano-",locat,TNK,"LKT,LKXNK"
*stano-,location,,"stanggo,stanggo-,stango,stango-,stano,stano-",locat,STNK,"LKT,LKXNK"
*tanā-,location,,"tanga,tanga-,tangga,tangga-,tanā,tanā-",locat,TNK,"LKT,LKXNK"
*stanā-,location,,"stanga,stanga-,stangga,stangga-,stanā,stanā-",locat,STNK,"LKT,LKXNK"
*(s)teb-je/o-,laugh,,"jeo,steb,steb-jeo-",laugh,"A,J,SSTPPJ,STP,STPPJ",LF
*teb-je/o-,laugh,,"jeo,teb,teb-jeo-",laugh,"A,J,TP,TPPJ",LF
*steb-je/o-,laugh,,"jeo,steb,steb-jeo-",laugh,"A,J,STP,STPPJ",LF
*(s)teig-e/o-,go,,"eo,steig,steig-eo-",go,"A,SSTKK,STK,STKK",K
*teig-e/o-,go,,"eo,teig,teig-eo-",go,"A,TK,TKK",K
*steig-e/o-,go,,"eo,steig,steig-eo-",go,"A,STK,STKK",K
*(s)temppu-,pillar,,"stemppu,stemppu-,stenggppu,stenggppu-,stengppu,stengppu-",pillar,"SSTNKP,STNKP",PLR
*temppu-,pillar,,"temppu,temppu-,tenggppu,tenggppu-,tengppu,tengppu-",pillar,TNKP,PLR
*stemppu-,pillar,,"stemppu,stemppu-,stenggppu,stenggppu-,stengppu,stengppu-",pillar,STNKP,PLR
*(s)tinowo-,valley,,"stinggowo,stinggowo-,stingowo,stingowo-,stinowo,stinowo-",valley,"SSTNK,STNK",FL
*tinowo-,valley,,"tinggowo,tinggowo-,tingowo,tingowo-,tinowo,tinowo-",valley,TNK,FL
*stinowo-,valley,,"stinggowo,stinggowo-,stingowo,stingowo-,stinowo,stinowo-",valley,STNK,FL
*(s)tixtā-,going,,"stixta,stixta-,stixtā,stixtā-",go,"SSTKST,STKST","K,KNK"
*tixtā-,going,,"tixta,tixta-,tixtā,tixtā-",go,TKST,"K,KNK"
*stixtā-,going,,"stixta,stixta-,stixtā,stixtā-",go,STKST,"K,KNK"
*(s)tolgo-,strength,,"stolgo,stolgo-",strength,"SSTLK,STLK","STRNK0,STRNKT"
*tolgo-,strength,,"tolgo,tolgo-",strength,TLK,"STRNK0,STRNKT"
*stolgo-,strength,,"stolgo,stolgo-",strength,STLK,"STRNK0,STRNKT"
*(s)tombo-,bush,,"stombo,stombo-,stongbo,stongbo-,stonggbo,stonggbo-",bush,"SSTNKP,STNKP",PX
*tombo-,bush,,"tombo,tombo-,tongbo,tongbo-,tonggbo,tonggbo-",bush,TNKP,PX
*stombo-,bush,,"stombo,stombo-,stongbo,stongbo-,stonggbo,stonggbo-",bush,STNKP,PX
*(s)trīnā-,fight,,"stringa,stringa-,stringga,stringga-,strīnā,strīnā-",fight,"SSTRNK,STRNK",FT
*trīnā-,fight,,"tringa,tringa-,tringga,tringga-,trīnā,trīnā-",fight,TRNK,FT
*strīnā-,fight,,"stringa,stringa-,stringga,stringga-,strīnā,strīnā-",fight,STRNK,FT
*(s)trunk-V-,"urine, faeces",,"strunggk,strunggk-v-,strungk,strungk-v-,strunk,strunk-v-,v","faec,urin","F,SSTRNKKKFF,STRNKK,STRNKKKFF","ARNJJ,ARNK,ARNKK,FK,FSS"
*trunk-V-,"urine, faeces",,"trunggk,trunggk-v-,trungk,trungk-v-,trunk,trunk-v-,v","faec,urin","F,TRNKK,TRNKKKFF","ARNJJ,ARNK,ARNKK,FK,FSS"
*strunk-V-,"urine, faeces",,"strunggk,strunggk-v-,strungk,strungk-v-,strunk,strunk-v-,v","faec,urin","F,STRNKK,STRNKKKFF","ARNJJ,ARNK,ARNKK,FK,FSS"
*(s)worei-,play,,"sworei,sworei-",play,"SR,SSR,XR",PL
*worei-,play,,"worei,worei-",play,"AR,FR,R",PL
*sworei-,play,,"sworei,sworei-",play,"SR,XR",PL
*(s)worei-mag-,playground,,"mag,ngag,nggag,sworei,sworei-mag-,sworei-ngag-,sworei-nggag-",playground,"NKK,SR,SRNKKK,SSRNKKK,XR,XRNKKK",PLKRNKT
*worei-mag-,playground,,"mag,ngag,nggag,worei,worei-mag-,worei-ngag-,worei-nggag-",playground,"AR,ARNKKK,FR,FRNKKK,NKK,RNKKK",PLKRNKT
*sworei-mag-,playground,,"mag,ngag,nggag,sworei,sworei-mag-,sworei-ngag-,sworei-nggag-",playground,"NKK,SR,SRNKKK,XR,XRNKKK",PLKRNKT
*(sk)nidāko-,having lice,,"sknggidako,sknggidako-,skngidako,skngidako-,sknidāko,sknidāko-","have,lice","SKKNJTK,SKKNKTK,SKNJTK,SKNKTK","HF,HFNK,LS"
*nidāko-,having lice,,"nggidako,nggidako-,ngidako,ngidako-,nidāko,nidāko-","have,lice","NJTK,NKTK","HF,HFNK,LS"
*sknidāko-,having lice,,"sknggidako,sknggidako-,skngidako,skngidako-,sknidāko,sknidāko-","have,lice","SKNJTK,SKNKTK","HF,HFNK,LS"
*(so-)sin,this,,"s,sin,sing,singg,so,so-,so-s,so-sin",this,"S,SNK,SS,SSNK","0S,TS"
*sin,this,,"sin,sing,singg",this,SNK,"0S,TS"
*so-sin,this,,"s,sin,sing,singg,so,so-,so-s,so-sin",this,"S,SNK,SS,SSNK","0S,TS"
*(su-)lurk-o-,fierce,,"lurk,o,su,su-lurk-o-",fierc,"A,LRK,S,SLRKK","FRK,FRS"
*lurk-o-,fierce,,"lurk,lurk-o-,o",fierc,"A,LRK,LRKK","FRK,FRS"
*su-lurk-o-,fierce,,"lurk,o,su,su-lurk-o-",fierc,"A,LRK,S,SLRKK","FRK,FRS"
*(t)lam-je/o-,dare,,"jeo,tlam,tlam-jeo-,tlang,tlang-jeo-,tlangg,tlangg-jeo-",dare,"A,J,TLNK,TLNKK,TLNKKJ,TTLNKKJ",TR
*lam-je/o-,dare,,"jeo,lam,lam-jeo-,lang,lang-jeo-,langg,langg-jeo-",dare,"A,J,LNK,LNKK,LNKKJ",TR
*tlam-je/o-,dare,,"jeo,tlam,tlam-jeo-,tlang,tlang-jeo-,tlangg,tlangg-jeo-",dare,"A,J,TLNK,TLNKK,TLNKKJ",TR
